auc,auc_normalization_denominator,auc_normalized,baf,critical,fire_duration,initial_tree_cells,max_spread_rate,param_conifer_ratio,param_f,param_height,param_humidity,param_init_tree_density,param_lightning_enabled,param_rain_enabled,param_rain_intensity,param_temperature_c,param_width,param_wind_dir,param_wind_enabled,param_wind_strength,peak_fire_fraction,peak_fire_size,run_id,scenario,seed,steps_total,steps_total_or_fire_horizon,time_to_extinguish,time_to_peak,truncated_by_max_steps
2,30195,6.62361318099023e-05,9.935419771485345e-05,False,2,10065,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.935419771485345e-05,1,anchor_cool_wet-0065,anchor_cool_wet,1748095464,3,3,3,1,False
0,5030000,0.0,0.0,False,0,10060,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0066,anchor_cool_wet,689805532,500,500,500,0,False
2,999700,2.0006001800540163e-06,0.00010003000900270081,False,2,9997,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.00010003000900270081,1,anchor_cool_wet-0067,anchor_cool_wet,358571614,100,100,100,98,False
0,5039000,0.0,0.0,False,0,10078,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0068,anchor_cool_wet,717885406,500,500,500,0,False
7,50400,0.0001388888888888889,0.00029761904761904765,False,4,10080,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0001984126984126984,2,anchor_cool_wet-0069,anchor_cool_wet,48773805,5,5,5,2,False
1,20168,4.958349861166204e-05,9.916699722332408e-05,False,1,10084,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.916699722332408e-05,1,anchor_cool_wet-0070,anchor_cool_wet,227939460,2,2,2,1,False
1,20048,4.988028731045491e-05,9.976057462090982e-05,False,1,10024,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.976057462090982e-05,1,anchor_cool_wet-0071,anchor_cool_wet,193376308,2,2,2,1,False
0,5054500,0.0,0.0,False,0,10109,0,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,0.0,0,anchor_cool_wet-0072,anchor_cool_wet,1656896191,500,500,500,0,False
2,30138,6.636140420731303e-05,9.954210631096954e-05,False,2,10046,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.954210631096954e-05,1,anchor_cool_wet-0073,anchor_cool_wet,1551254892,3,3,3,1,False
2,30204,6.621639517944644e-05,9.932459276916965e-05,False,2,10068,1,0.5,0.01,120,0.75,0.7,True,True,0.7,14.0,120,E,False,0.2,9.932459276916965e-05,1,anchor_cool_wet-0074,anchor_cool_wet,1496303881,3,3,3,1,False
